date,country,totdea_mean
2020-03-04,United States,95.814
2020-03-05,United States,99.814
2020-03-06,United States,103.814
2020-03-07,United States,107.814
2020-03-08,United States,112.814
2020-03-09,United States,116.814
2020-03-10,United States,119.814
2020-03-11,United States,123.814
2020-03-12,United States,127.815
2020-03-13,United States,131.815
2020-03-14,United States,138.815
2020-03-15,United States,150.815
2020-03-16,United States,168.815
2020-03-17,United States,192.815
2020-03-18,United States,228.81400000000002
2020-03-19,United States,277.813
2020-03-20,United States,343.81
2020-03-21,United States,431.809
2020-03-22,United States,537.805
2020-03-23,United States,677.8
2020-03-24,United States,859.794
2020-03-25,United States,1098.7839999999999
2020-03-26,United States,1407.766
2020-03-27,United States,1792.746
2020-03-28,United States,2260.725
2020-03-29,United States,2829.6940000000004
2020-03-30,United States,3521.663
2020-03-31,United States,4368.628
2020-04-01,United States,5393.581
2020-04-02,United States,6592.536
2020-04-03,United States,7930.477
2020-04-04,United States,9365.418
2020-04-05,United States,10888.355
2020-04-06,United States,12535.298
2020-04-07,United States,14350.242
2020-04-08,United States,16344.166000000001
2020-04-09,United States,18430.099
2020-04-10,United States,20532.022
2020-04-11,United States,22598.939
2020-04-12,United States,24657.847
2020-04-13,United States,26771.765
2020-04-14,United States,28987.677000000003
2020-04-15,United States,31284.58
2020-04-16,United States,33581.477
2020-04-17,United States,35802.372
2020-04-18,United States,37933.277
2020-04-19,United States,40019.187999999995
2020-04-20,United States,42139.09
2020-04-21,United States,44327.988
2020-04-22,United States,46573.871
2020-04-23,United States,48779.757000000005
2020-04-24,United States,50843.677
2020-04-25,United States,52740.602
2020-04-26,United States,54552.535
2020-04-27,United States,56414.462
2020-04-28,United States,58404.365
2020-04-29,United States,60474.25
2020-04-30,United States,62497.145
2020-05-01,United States,64356.037000000004
2020-05-02,United States,66058.938
2020-05-03,United States,67694.83
2020-05-04,United States,69404.7
2020-05-05,United States,71249.557
2020-05-06,United States,73178.378
2020-05-07,United States,75059.189
2020-05-08,United States,76786.996
2020-05-09,United States,78362.81599999999
2020-05-10,United States,79859.046
2020-05-11,United States,81367.52
2020-05-12,United States,82937.461
2020-05-13,United States,84596.961
2020-05-14,United States,86300.207
2020-05-15,United States,87992.53199999999
2020-05-16,United States,89645.602
2020-05-17,United States,91237.771
2020-05-18,United States,92722.915
2020-05-19,United States,94170.257
2020-05-20,United States,95583.74900000001
2020-05-21,United States,96970.224
2020-05-22,United States,98334.489
2020-05-23,United States,99680.394
2020-05-24,United States,101012.23300000001
2020-05-25,United States,102327.715
2020-05-26,United States,103619.694
2020-05-27,United States,104889.15400000001
2020-05-28,United States,106134.484
2020-05-29,United States,107361.25
2020-05-30,United States,108568.543
2020-05-31,United States,109758.516
2020-06-01,United States,110926.401
2020-06-02,United States,112065.115
2020-06-03,United States,113183.93400000001
2020-06-04,United States,114275.974
2020-06-05,United States,115345.76199999999
2020-06-06,United States,116393.79800000001
2020-06-07,United States,117416.286
2020-06-08,United States,118415.25099999999
2020-06-09,United States,119384.19
2020-06-10,United States,120310.19699999999
2020-06-11,United States,121198.966
2020-06-12,United States,122061.089
2020-06-13,United States,122886.25099999999
2020-06-14,United States,123687.405
2020-06-15,United States,124475.722
2020-06-16,United States,125231.615
2020-06-17,United States,125956.73300000001
2020-06-18,United States,126664.742
2020-06-19,United States,127355.07
2020-06-20,United States,128020.079
2020-06-21,United States,128658.12
2020-06-22,United States,129276.015
2020-06-23,United States,129874.1
2020-06-24,United States,130457.521
2020-06-25,United States,131025.66900000001
2020-06-26,United States,131567.926
2020-06-27,United States,132106.42
2020-06-28,United States,132617.84699999998
2020-06-29,United States,133108.301
2020-06-30,United States,133585.215
2020-07-01,United States,134063.887
2020-07-02,United States,134506.43
2020-07-03,United States,134951.27
2020-07-04,United States,135367.958
2020-07-05,United States,135772.13
2020-07-06,United States,136164.67
2020-07-07,United States,136551.74599999998
2020-07-08,United States,136919.904
2020-07-09,United States,137275.72
2020-07-10,United States,137622.112
2020-07-11,United States,137962.1
2020-07-12,United States,138286.428
2020-07-13,United States,138602.634
2020-07-14,United States,138904.40300000002
2020-07-15,United States,139192.631
2020-07-16,United States,139467.138
2020-07-17,United States,139736.25199999998
2020-07-18,United States,140005.139
2020-07-19,United States,140279.7
2020-07-20,United States,140530.99
2020-07-21,United States,140768.753
2020-07-22,United States,140991.521
2020-07-23,United States,141214.095
2020-07-24,United States,141425.65099999998
2020-07-25,United States,141635.169
2020-07-26,United States,141829.531
2020-07-27,United States,142020.68
2020-07-28,United States,142214.941
2020-07-29,United States,142407.107
2020-07-30,United States,142582.163
2020-07-31,United States,142753.939
2020-03-04,Brazil,531.71
2020-03-05,Brazil,531.71
2020-03-06,Brazil,531.71
2020-03-07,Brazil,531.71
2020-03-08,Brazil,531.71
2020-03-09,Brazil,531.71
2020-03-10,Brazil,531.71
2020-03-11,Brazil,531.71
2020-03-12,Brazil,531.71
2020-03-13,Brazil,531.71
2020-03-14,Brazil,531.71
2020-03-15,Brazil,531.71
2020-03-16,Brazil,531.71
2020-03-17,Brazil,531.71
2020-03-18,Brazil,532.711
2020-03-19,Brazil,534.7130000000001
2020-03-20,Brazil,537.716
2020-03-21,Brazil,543.721
2020-03-22,Brazil,550.727
2020-03-23,Brazil,559.735
2020-03-24,Brazil,569.744
2020-03-25,Brazil,580.754
2020-03-26,Brazil,594.765
2020-03-27,Brazil,610.7769999999999
2020-03-28,Brazil,628.7909999999999
2020-03-29,Brazil,650.807
2020-03-30,Brazil,676.825
2020-03-31,Brazil,706.845
2020-04-01,Brazil,742.8689999999999
2020-04-02,Brazil,783.895
2020-04-03,Brazil,830.924
2020-04-04,Brazil,884.956
2020-04-05,Brazil,946.9910000000001
2020-04-06,Brazil,1017.0319999999999
2020-04-07,Brazil,1096.076
2020-04-08,Brazil,1183.122
2020-04-09,Brazil,1277.1689999999999
2020-04-10,Brazil,1376.2160000000001
2020-04-11,Brazil,1481.263
2020-04-12,Brazil,1592.31
2020-04-13,Brazil,1712.361
2020-04-14,Brazil,1845.415
2020-04-15,Brazil,1990.474
2020-04-16,Brazil,2144.535
2020-04-17,Brazil,2303.597
2020-04-18,Brazil,2464.657
2020-04-19,Brazil,2627.719
2020-04-20,Brazil,2794.7859999999996
2020-04-21,Brazil,2973.861
2020-04-22,Brazil,3171.949
2020-04-23,Brazil,3396.053
2020-04-24,Brazil,3643.17
2020-04-25,Brazil,3913.298
2020-04-26,Brazil,4202.436
2020-04-27,Brazil,4507.577
2020-04-28,Brazil,4826.72
2020-04-29,Brazil,5154.863
2020-04-30,Brazil,5487.9980000000005
2020-05-01,Brazil,5823.124
2020-05-02,Brazil,6164.244000000001
2020-05-03,Brazil,6516.361999999999
2020-05-04,Brazil,6892.483
2020-05-05,Brazil,7302.613
2020-05-06,Brazil,7750.759
2020-05-07,Brazil,8239.92
2020-05-08,Brazil,8771.096
2020-05-09,Brazil,9342.279
2020-05-10,Brazil,9953.474
2020-05-11,Brazil,10601.684
2020-05-12,Brazil,11290.663999999999
2020-05-13,Brazil,11999.84
2020-05-14,Brazil,12726.258
2020-05-15,Brazil,13466.493
2020-05-16,Brazil,14216.553999999998
2020-05-17,Brazil,14972.421
2020-05-18,Brazil,15729.653
2020-05-19,Brazil,16484.032
2020-05-20,Brazil,17244.65
2020-05-21,Brazil,18020.335
2020-05-22,Brazil,18806.92
2020-05-23,Brazil,19606.958
2020-05-24,Brazil,20426.393
2020-05-25,Brazil,21262.174
2020-05-26,Brazil,22109.853
2020-05-27,Brazil,22968.234
2020-05-28,Brazil,23834.366
2020-05-29,Brazil,24707.229
2020-05-30,Brazil,25590.271
2020-05-31,Brazil,26485.465
2020-06-01,Brazil,27391.625
2020-06-02,Brazil,28306.165
2020-06-03,Brazil,29226.252
2020-06-04,Brazil,30151.607999999997
2020-06-05,Brazil,31083.052000000003
2020-06-06,Brazil,32021.429
2020-06-07,Brazil,32966.725
2020-06-08,Brazil,33919.167
2020-06-09,Brazil,34878.983
2020-06-10,Brazil,35846.929
2020-06-11,Brazil,36822.931000000004
2020-06-12,Brazil,37806.045
2020-06-13,Brazil,38794.263999999996
2020-06-14,Brazil,39785.385
2020-06-15,Brazil,40778.482
2020-06-16,Brazil,41775.212999999996
2020-06-17,Brazil,42777.253
2020-06-18,Brazil,43785.731
2020-06-19,Brazil,44800.570999999996
2020-06-20,Brazil,45819.997
2020-06-21,Brazil,46841.003
2020-06-22,Brazil,47860.89
2020-06-23,Brazil,48878.698
2020-06-24,Brazil,49898.03400000001
2020-06-25,Brazil,50919.350999999995
2020-06-26,Brazil,51941.749
2020-06-27,Brazil,52965.322
2020-06-28,Brazil,53989.16099999999
2020-06-29,Brazil,55012.096
2020-06-30,Brazil,56034.847
2020-07-01,Brazil,57058.844000000005
2020-07-02,Brazil,58083.265
2020-07-03,Brazil,59106.685
2020-07-04,Brazil,60129.232
2020-07-05,Brazil,61149.685999999994
2020-07-06,Brazil,62165.399000000005
2020-07-07,Brazil,63176.585
2020-07-08,Brazil,64182.89
2020-07-09,Brazil,65183.212
2020-07-10,Brazil,66179.16
2020-07-11,Brazil,67171.97
2020-07-12,Brazil,68161.016
2020-07-13,Brazil,69146.136
2020-07-14,Brazil,70126.207
2020-07-15,Brazil,71097.815
2020-07-16,Brazil,72059.022
2020-07-17,Brazil,73009.586
2020-07-18,Brazil,73948.651
2020-07-19,Brazil,74875.661
2020-07-20,Brazil,75791.943
2020-07-21,Brazil,76699.431
2020-07-22,Brazil,77597.466
2020-07-23,Brazil,78485.77
2020-07-24,Brazil,79365.702
2020-07-25,Brazil,80237.053
2020-07-26,Brazil,81098.437
2020-07-27,Brazil,81949.519
2020-07-28,Brazil,82789.838
2020-07-29,Brazil,83616.539
2020-07-30,Brazil,84427.95300000001
2020-07-31,Brazil,85224.519
2020-03-04,Philippines,1.0
2020-03-05,Philippines,1.0
2020-03-06,Philippines,1.0
2020-03-07,Philippines,1.0
2020-03-08,Philippines,1.0
2020-03-09,Philippines,1.0
2020-03-10,Philippines,1.0
2020-03-11,Philippines,1.0
2020-03-12,Philippines,2.0
2020-03-13,Philippines,5.0
2020-03-14,Philippines,8.0
2020-03-15,Philippines,11.0
2020-03-16,Philippines,12.0
2020-03-17,Philippines,12.0
2020-03-18,Philippines,19.0
2020-03-19,Philippines,17.0
2020-03-20,Philippines,18.0
2020-03-21,Philippines,19.0
2020-03-22,Philippines,25.0
2020-03-23,Philippines,33.0
2020-03-24,Philippines,35.0
2020-03-25,Philippines,38.0
2020-03-26,Philippines,45.0
2020-03-27,Philippines,54.0
2020-03-28,Philippines,68.0
2020-03-29,Philippines,71.0
2020-03-30,Philippines,78.0
2020-03-31,Philippines,88.0
2020-04-01,Philippines,96.0
2020-04-02,Philippines,107.0
2020-04-03,Philippines,136.0
2020-04-04,Philippines,144.0
2020-04-05,Philippines,152.0
2020-04-06,Philippines,163.0
2020-04-07,Philippines,177.0
2020-04-08,Philippines,182.0
2020-04-09,Philippines,203.0
2020-04-10,Philippines,221.0
2020-04-11,Philippines,247.0
2020-04-12,Philippines,297.0
2020-04-13,Philippines,315.0
2020-04-14,Philippines,335.0
2020-04-15,Philippines,349.0
2020-04-16,Philippines,362.0
2020-04-17,Philippines,387.0
2020-04-18,Philippines,397.0
2020-04-19,Philippines,409.0
2020-04-20,Philippines,428.0
2020-04-21,Philippines,437.0
2020-04-22,Philippines,446.0
2020-04-23,Philippines,462.0
2020-04-24,Philippines,477.0
2020-04-25,Philippines,494.0
2020-04-26,Philippines,501.0
2020-04-27,Philippines,511.0
2020-04-28,Philippines,530.0
2020-04-29,Philippines,558.0
2020-04-30,Philippines,568.0
2020-05-01,Philippines,579.0
2020-05-02,Philippines,603.0
2020-05-03,Philippines,607.0
2020-05-04,Philippines,623.0
2020-05-05,Philippines,637.0
2020-05-06,Philippines,658.0
2020-05-07,Philippines,685.0
2020-05-08,Philippines,696.0
2020-05-09,Philippines,704.0
2020-05-10,Philippines,719.0
2020-05-11,Philippines,726.0
2020-05-12,Philippines,751.0
2020-05-13,Philippines,772.0
2020-05-14,Philippines,790.0
2020-05-15,Philippines,806.0
2020-05-16,Philippines,817.0
2020-05-17,Philippines,824.0
2020-05-18,Philippines,831.0
2020-05-19,Philippines,837.0
2020-05-20,Philippines,867.288
2020-05-21,Philippines,881.6
2020-05-22,Philippines,895.6389999999999
2020-05-23,Philippines,909.398
2020-05-24,Philippines,922.755
2020-05-25,Philippines,935.625
2020-05-26,Philippines,948.068
2020-05-27,Philippines,960.069
2020-05-28,Philippines,971.497
2020-05-29,Philippines,982.3969999999999
2020-05-30,Philippines,992.938
2020-05-31,Philippines,1003.163
2020-06-01,Philippines,1013.1239999999999
2020-06-02,Philippines,1022.887
2020-06-03,Philippines,1032.465
2020-06-04,Philippines,1041.823
2020-06-05,Philippines,1050.8519999999999
2020-06-06,Philippines,1059.5339999999999
2020-06-07,Philippines,1067.88
2020-06-08,Philippines,1075.9080000000001
2020-06-09,Philippines,1083.637
2020-06-10,Philippines,1091.123
2020-06-11,Philippines,1098.368
2020-06-12,Philippines,1105.371
2020-06-13,Philippines,1112.187
2020-06-14,Philippines,1118.766
2020-06-15,Philippines,1125.087
2020-06-16,Philippines,1131.1680000000001
2020-06-17,Philippines,1137.021
2020-06-18,Philippines,1142.649
2020-06-19,Philippines,1148.057
2020-06-20,Philippines,1153.258
2020-06-21,Philippines,1158.258
2020-06-22,Philippines,1163.072
2020-06-23,Philippines,1167.7069999999999
2020-06-24,Philippines,1172.214
2020-06-25,Philippines,1176.606
2020-06-26,Philippines,1180.89
2020-06-27,Philippines,1185.059
2020-06-28,Philippines,1189.124
2020-06-29,Philippines,1193.057
2020-06-30,Philippines,1196.862
2020-07-01,Philippines,1200.5610000000001
2020-07-02,Philippines,1204.156
2020-07-03,Philippines,1207.6789999999999
2020-07-04,Philippines,1211.104
2020-07-05,Philippines,1214.412
2020-07-06,Philippines,1217.644
2020-07-07,Philippines,1220.7930000000001
2020-07-08,Philippines,1223.839
2020-07-09,Philippines,1226.774
2020-07-10,Philippines,1229.6589999999999
2020-07-11,Philippines,1232.47
2020-07-12,Philippines,1235.19
2020-07-13,Philippines,1237.8039999999999
2020-07-14,Philippines,1240.3339999999998
2020-07-15,Philippines,1242.8010000000002
2020-07-16,Philippines,1245.183
2020-07-17,Philippines,1247.5
2020-07-18,Philippines,1249.763
2020-07-19,Philippines,1251.961
2020-07-20,Philippines,1254.113
2020-07-21,Philippines,1256.228
2020-07-22,Philippines,1258.3110000000001
2020-07-23,Philippines,1260.34
2020-07-24,Philippines,1262.3010000000002
2020-07-25,Philippines,1264.183
2020-07-26,Philippines,1266.021
2020-07-27,Philippines,1267.8210000000001
2020-07-28,Philippines,1269.603
2020-07-29,Philippines,1271.343
2020-07-30,Philippines,1273.0510000000002
2020-07-31,Philippines,1274.719
2020-03-04,Egypt,0.0
2020-03-05,Egypt,0.0
2020-03-06,Egypt,0.0
2020-03-07,Egypt,0.0
2020-03-08,Egypt,1.0
2020-03-09,Egypt,1.0
2020-03-10,Egypt,1.0
2020-03-11,Egypt,1.0
2020-03-12,Egypt,1.0
2020-03-13,Egypt,2.0
2020-03-14,Egypt,2.0
2020-03-15,Egypt,2.0
2020-03-16,Egypt,2.0
2020-03-17,Egypt,4.0
2020-03-18,Egypt,6.0
2020-03-19,Egypt,6.0
2020-03-20,Egypt,8.0
2020-03-21,Egypt,10.0
2020-03-22,Egypt,14.0
2020-03-23,Egypt,19.0
2020-03-24,Egypt,20.0
2020-03-25,Egypt,21.0
2020-03-26,Egypt,24.0
2020-03-27,Egypt,30.0
2020-03-28,Egypt,36.0
2020-03-29,Egypt,40.0
2020-03-30,Egypt,41.0
2020-03-31,Egypt,46.0
2020-04-01,Egypt,52.0
2020-04-02,Egypt,58.0
2020-04-03,Egypt,66.0
2020-04-04,Egypt,71.0
2020-04-05,Egypt,78.0
2020-04-06,Egypt,85.0
2020-04-07,Egypt,94.0
2020-04-08,Egypt,103.0
2020-04-09,Egypt,118.0
2020-04-10,Egypt,135.0
2020-04-11,Egypt,146.0
2020-04-12,Egypt,159.0
2020-04-13,Egypt,164.0
2020-04-14,Egypt,178.0
2020-04-15,Egypt,183.0
2020-04-16,Egypt,196.0
2020-04-17,Egypt,205.0
2020-04-18,Egypt,224.0
2020-04-19,Egypt,239.0
2020-04-20,Egypt,250.0
2020-04-21,Egypt,264.0
2020-04-22,Egypt,276.0
2020-04-23,Egypt,287.0
2020-04-24,Egypt,294.0
2020-04-25,Egypt,307.0
2020-04-26,Egypt,317.0
2020-04-27,Egypt,337.0
2020-04-28,Egypt,359.0
2020-04-29,Egypt,380.0
2020-04-30,Egypt,392.0
2020-05-01,Egypt,406.0
2020-05-02,Egypt,415.0
2020-05-03,Egypt,429.0
2020-05-04,Egypt,436.0
2020-05-05,Egypt,452.0
2020-05-06,Egypt,469.0
2020-05-07,Egypt,482.0
2020-05-08,Egypt,503.0
2020-05-09,Egypt,514.0
2020-05-10,Egypt,525.0
2020-05-11,Egypt,533.0
2020-05-12,Egypt,544.0
2020-05-13,Egypt,556.0
2020-05-14,Egypt,571.0
2020-05-15,Egypt,592.0
2020-05-16,Egypt,612.0
2020-05-17,Egypt,630.0
2020-05-18,Egypt,645.0
2020-05-19,Egypt,659.0
2020-05-20,Egypt,686.543
2020-05-21,Egypt,703.435
2020-05-22,Egypt,720.6310000000001
2020-05-23,Egypt,738.138
2020-05-24,Egypt,755.982
2020-05-25,Egypt,774.128
2020-05-26,Egypt,792.5089999999999
2020-05-27,Egypt,811.11
2020-05-28,Egypt,829.923
2020-05-29,Egypt,848.931
2020-05-30,Egypt,868.0980000000001
2020-05-31,Egypt,887.4580000000001
2020-06-01,Egypt,906.9689999999999
2020-06-02,Egypt,926.586
2020-06-03,Egypt,946.295
2020-06-04,Egypt,966.055
2020-06-05,Egypt,985.9
2020-06-06,Egypt,1005.81
2020-06-07,Egypt,1025.803
2020-06-08,Egypt,1045.83
2020-06-09,Egypt,1065.862
2020-06-10,Egypt,1085.838
2020-06-11,Egypt,1105.755
2020-06-12,Egypt,1125.638
2020-06-13,Egypt,1145.5430000000001
2020-06-14,Egypt,1165.485
2020-06-15,Egypt,1185.496
2020-06-16,Egypt,1205.586
2020-06-17,Egypt,1225.742
2020-06-18,Egypt,1245.96
2020-06-19,Egypt,1266.223
2020-06-20,Egypt,1286.509
2020-06-21,Egypt,1306.823
2020-06-22,Egypt,1327.1589999999999
2020-06-23,Egypt,1347.475
2020-06-24,Egypt,1367.755
2020-06-25,Egypt,1387.996
2020-06-26,Egypt,1408.193
2020-06-27,Egypt,1428.3310000000001
2020-06-28,Egypt,1448.432
2020-06-29,Egypt,1468.489
2020-06-30,Egypt,1488.5120000000002
2020-07-01,Egypt,1508.4579999999999
2020-07-02,Egypt,1528.307
2020-07-03,Egypt,1548.068
2020-07-04,Egypt,1567.734
2020-07-05,Egypt,1587.299
2020-07-06,Egypt,1606.7579999999998
2020-07-07,Egypt,1626.095
2020-07-08,Egypt,1645.2939999999999
2020-07-09,Egypt,1664.35
2020-07-10,Egypt,1683.271
2020-07-11,Egypt,1702.036
2020-07-12,Egypt,1720.644
2020-07-13,Egypt,1739.078
2020-07-14,Egypt,1757.3210000000001
2020-07-15,Egypt,1775.376
2020-07-16,Egypt,1793.239
2020-07-17,Egypt,1810.933
2020-07-18,Egypt,1828.467
2020-07-19,Egypt,1845.865
2020-07-20,Egypt,1863.134
2020-07-21,Egypt,1880.249
2020-07-22,Egypt,1897.207
2020-07-23,Egypt,1914.015
2020-07-24,Egypt,1930.6689999999999
2020-07-25,Egypt,1947.13
2020-07-26,Egypt,1963.418
2020-07-27,Egypt,1979.5279999999998
2020-07-28,Egypt,1995.4279999999999
2020-07-29,Egypt,2011.165
2020-07-30,Egypt,2026.731
2020-07-31,Egypt,2042.13
2020-03-04,Turkey,0.0
2020-03-05,Turkey,0.0
2020-03-06,Turkey,0.0
2020-03-07,Turkey,0.0
2020-03-08,Turkey,0.0
2020-03-09,Turkey,0.0
2020-03-10,Turkey,0.0
2020-03-11,Turkey,0.0
2020-03-12,Turkey,0.0
2020-03-13,Turkey,0.0
2020-03-14,Turkey,0.0
2020-03-15,Turkey,0.0
2020-03-16,Turkey,0.0
2020-03-17,Turkey,1.0
2020-03-18,Turkey,1.0
2020-03-19,Turkey,3.0
2020-03-20,Turkey,4.0
2020-03-21,Turkey,9.0
2020-03-22,Turkey,30.0
2020-03-23,Turkey,37.0
2020-03-24,Turkey,44.0
2020-03-25,Turkey,59.0
2020-03-26,Turkey,75.0
2020-03-27,Turkey,92.0
2020-03-28,Turkey,108.0
2020-03-29,Turkey,131.0
2020-03-30,Turkey,168.0
2020-03-31,Turkey,214.0
2020-04-01,Turkey,277.0
2020-04-02,Turkey,356.0
2020-04-03,Turkey,425.0
2020-04-04,Turkey,501.0
2020-04-05,Turkey,574.0
2020-04-06,Turkey,649.0
2020-04-07,Turkey,725.0
2020-04-08,Turkey,812.0
2020-04-09,Turkey,908.0
2020-04-10,Turkey,1006.0
2020-04-11,Turkey,1101.0
2020-04-12,Turkey,1198.0
2020-04-13,Turkey,1296.0
2020-04-14,Turkey,1403.0
2020-04-15,Turkey,1518.0
2020-04-16,Turkey,1643.0
2020-04-17,Turkey,1769.0
2020-04-18,Turkey,1890.0
2020-04-19,Turkey,2017.0
2020-04-20,Turkey,2140.0
2020-04-21,Turkey,2259.0
2020-04-22,Turkey,2376.0
2020-04-23,Turkey,2491.0
2020-04-24,Turkey,2600.0
2020-04-25,Turkey,2706.0
2020-04-26,Turkey,2805.0
2020-04-27,Turkey,2900.0
2020-04-28,Turkey,2992.0
2020-04-29,Turkey,3081.0
2020-04-30,Turkey,3174.0
2020-05-01,Turkey,3258.0
2020-05-02,Turkey,3336.0
2020-05-03,Turkey,3397.0
2020-05-04,Turkey,3461.0
2020-05-05,Turkey,3520.0
2020-05-06,Turkey,3584.0
2020-05-07,Turkey,3641.0
2020-05-08,Turkey,3689.0
2020-05-09,Turkey,3739.0
2020-05-10,Turkey,3786.0
2020-05-11,Turkey,3841.0
2020-05-12,Turkey,3894.0
2020-05-13,Turkey,3952.0
2020-05-14,Turkey,4007.0
2020-05-15,Turkey,4055.0
2020-05-16,Turkey,4096.0
2020-05-17,Turkey,4140.0
2020-05-18,Turkey,4171.0
2020-05-19,Turkey,4199.0
2020-05-20,Turkey,4263.75
2020-05-21,Turkey,4300.306
2020-05-22,Turkey,4335.825
2020-05-23,Turkey,4370.4929999999995
2020-05-24,Turkey,4404.464
2020-05-25,Turkey,4437.715
2020-05-26,Turkey,4470.267
2020-05-27,Turkey,4502.135
2020-05-28,Turkey,4533.28
2020-05-29,Turkey,4563.649
2020-05-30,Turkey,4593.303
2020-05-31,Turkey,4622.231
2020-06-01,Turkey,4650.304
2020-06-02,Turkey,4677.435
2020-06-03,Turkey,4703.605
2020-06-04,Turkey,4728.776
2020-06-05,Turkey,4752.891
2020-06-06,Turkey,4776.012
2020-06-07,Turkey,4798.127
2020-06-08,Turkey,4819.224
2020-06-09,Turkey,4839.369000000001
2020-06-10,Turkey,4858.62
2020-06-11,Turkey,4876.9890000000005
2020-06-12,Turkey,4894.609
2020-06-13,Turkey,4911.583
2020-06-14,Turkey,4927.9490000000005
2020-06-15,Turkey,4943.776
2020-06-16,Turkey,4959.085
2020-06-17,Turkey,4973.923
2020-06-18,Turkey,4988.258
2020-06-19,Turkey,5002.083
2020-06-20,Turkey,5015.379
2020-06-21,Turkey,5028.159000000001
2020-06-22,Turkey,5040.418
2020-06-23,Turkey,5052.159000000001
2020-06-24,Turkey,5063.417
2020-06-25,Turkey,5074.182
2020-06-26,Turkey,5084.4890000000005
2020-06-27,Turkey,5094.3640000000005
2020-06-28,Turkey,5103.805
2020-06-29,Turkey,5112.82
2020-06-30,Turkey,5121.456
2020-07-01,Turkey,5129.713
2020-07-02,Turkey,5137.59
2020-07-03,Turkey,5145.137
2020-07-04,Turkey,5152.37
2020-07-05,Turkey,5159.304
2020-07-06,Turkey,5165.948
2020-07-07,Turkey,5172.333
2020-07-08,Turkey,5178.465999999999
2020-07-09,Turkey,5184.343
2020-07-10,Turkey,5189.982
2020-07-11,Turkey,5195.351
2020-07-12,Turkey,5200.460999999999
2020-07-13,Turkey,5205.325
2020-07-14,Turkey,5209.946
2020-07-15,Turkey,5214.326
2020-07-16,Turkey,5218.488
2020-07-17,Turkey,5222.464
2020-07-18,Turkey,5226.226
2020-07-19,Turkey,5229.813
2020-07-20,Turkey,5233.215999999999
2020-07-21,Turkey,5236.432
2020-07-22,Turkey,5239.472
2020-07-23,Turkey,5242.38
2020-07-24,Turkey,5245.14
2020-07-25,Turkey,5247.771
2020-07-26,Turkey,5250.2609999999995
2020-07-27,Turkey,5252.6359999999995
2020-07-28,Turkey,5254.888000000001
2020-07-29,Turkey,5257.03
2020-07-30,Turkey,5259.071999999999
